Province,Transportation,Expense,Distance,Region
Nonthaburi,Private Car,1200,88,Central Region
Chonburi,Private Car,500,22,Eastern Region
Udon Thani,Airplane,2500,506,Northeastern Region
Chachoengsao,Public Van,150,59,Eastern Region
Ratchaburi,Public Van,400,127,Western Region
Chonburi,motorcycle,300,22,Eastern Region
Chachoengsao,Public Van,300,59,Eastern Region
Chonburi,Private Car,500,22,Eastern Region
Samut Sakhon,Private Car,1200,108,Central Region
Bangkok,Train,300,79,Central Region
Samut Songkhram,Private Car,1200,108,Central Region
Chonburi,Tour Car,300,22,Eastern Region
Chonburi,Private Car,500,22,Eastern Region
Nakhon Si Thammarat,Public Van,300,534,Southern Region
Chonburi,Private Car,500,22,Eastern Region
Chonburi,Private Car,500,22,Eastern Region
Chonburi,Private Car,500,22,Eastern Region
Chonburi,Private Car,500,22,Eastern Region
Sa Kaeo,Tour Car,300,142,Eastern Region
Rayoung,Private Car,1200,70,Eastern Region
Chonburi,Public Van,300,22,Eastern Region
Chonburi,Tour Car,300,22,Eastern Region
Nan,Tour Car,300,620,Northeastern Region
Chaiyaphum,Public Van,300,315,Northeastern Region
Phetchaburi,Private Car,1200,107,Western Region
Nakhon Pathom,Tour Car,300,118,Western Region
Rayoung,Public Van,300,70,Eastern Region
Chonburi,Public Van,300,22,Eastern Region
Trat,Private Car,1200,200,Eastern Region
Samut Songkhram,Private Car,1200,108,Central Region
Ayutthaya,Private Car,1200,136,Central Region
Samut Sakhon,Tour Car,300,82,Central Region
Pathum Thani,Private Car,1200,103,Central Region
Samut Prakan,Private Car,1200,59,Central Region
Nakhon Nayok,Public Van,300,80,Central Region
Chachoengsao,Public Van,300,80,Eastern Region
Chonburi,Private Car,500,22,Eastern Region
Chonburi,Private Car,500,22,Eastern Region
Chonburi,Tour Car,2000,22,Eastern Region
Nakhon Nayok,Private Car,1200,118,Central Region
Yasothon,Private Car,1200,452,Northeastern Region
Nonthaburi,Private Car,1200,88,Central Region
Pathum Thani,Tour Car,300,103,Central Region
Khon Kaen,Tour Car,300,416,Northeastern Region
Chonburi,Private Car,500,22,Eastern Region
Chanthaburi,Private Car,1200,141,Eastern Region
Chonburi,Private Car,500,22,Eastern Region
Phrae,Private Car,1200,556,Northeastern Region
Phra Nakhon Si Ayutthaya,Public Van,300,150,Central Region
